Company_Name,Rating,Job_Title,Location,Salary_Estimate,Description,Revenue,Industry,Founded,Type,Size,Sector
"Stax
3.5",3.5,Data Scientist,Remote,,"The Data Scientist will use their strategic and analytical skills to drive projects with major customer and business impact. You will act as the primary data driven Risk force of change to drive faster and more profitable risk decisions. You will slice and dice data to find insights, form data driven hypotheses and implement changes that have immediate and direct customer and business impact.

Key Responsibilities & Objectives

Use modeling and analytical prowess to understand and communicate how business and risk policies and processes are impacting our bottom line.
Build data science intelligence and help automate risk decisions based on regression and machine learning models
Conduct statistical analysis to identify trends, variations, patterns and insights relating to the risk performance of accounts
Set up your own problem frameworks and develop hypothesis to test for optimal outcomes. This will include scoping the operational feasibility, product and vendor impact, lead cross functional implementation effort, and monitor the success of your solutions.
Work with internal and external data to build comprehensive customer risk profiles
Evaluate risk operational processes to determine opportunities for efficiencies
Provides reports on a regular basis, and as directed or requested, to keep senior management informed
Other analytical and data driven duties as needed

Preferred Qualifications

Bachelor's degree or higher in a quantitative field (Statistics, Math, Science, Engineering, Business, Economics, Finance)
4+ years of experience in related field
Experience in data extraction, analysis, SQL, R, Python, Tableau, Splunk all a plus
Ability to work under pressure in fast-paced environment
Great communication and data driven storytelling skills
Strong attention to detail
Solution-Oriented with appetite to test and learn quickly
Show More 
Report","Revenue
$1 to $5 billion (USD)","Industry
Financial Transaction Processing","Founded
2014","Type
Company - Private","Size
201 to 500 Employees","Sector
Financial Services"
"Hanker Systems Inc
5.0",5.0,Data Scientist,Remote,Employer Provided Salary:$120K - $180K ,"Title: Data Scientist

Duration: Full Time

Remote

Required Skills:

Min 15+ Years Exp Candidate Required

Design, create and maintain predictive data models will be the primary responsibility of the data scientist.

Utilize modern data preparation, integration and AI-enabled metadata management tools and techniques.

Track data consumption patterns.

Work with data science teams and with business (data) analysts to refine their data requirements for various data and analytics initiatives.

Propose appropriate (and innovative) data ingestion, preparation, integration and operationalization techniques.

Train counterparts such as data scientists, data analysts, LOB users or any data consumers in data pipelining and preparation techniques.

Become a data and analytics evangelist by promoting the available data and analytics capabilities and expertise to business unit leaders and educating them in leveraging these capabilities in achieving their business goals.

Lead customer research utilizing a variety of different methods to produce actionable

recommendations to drive financial performance and customer experience

Create and maintain KPIs (ex: ROMI) for marketing campaigns across all channels

Provide insights into marketing campaign performance optimization across all lines of business

and data governance

Expert knowledge of internal customer data as well as third‐party data leveraged in predictive

Modeling

Defining Customer Journey, Moments of Truth, and driving alignment of sales and marketing

efforts within the Omnichannel Life Cycle

Identify segments likely to experience churn; perform test and design for sales and marketing campaigns to improve churn metrics and track key retention drivers

Create and test Acquisition and Propensity / Cross Sell Models for customer deepening via Direct Mail, e‐mail, and digital campaigns

Lead Customer and Channel Segmentation to prove out target segmentation strategy Branch Site and Format Optimization; deploy a mixed revenue‐based/ customer coverage maximization model to improve network equity

Create Branch Connectivity (hub and spoke) visualization and measurement to define branch communities for staffing logic

Conduct Retail Partnership Assessment; perform ATM gap coverage analysis

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Strong ability to design, build and manage data pipelines for data structures encompassing data transformation, data models, schemas, metadata and workload management. The ability to work with both IT and business in integrating analytics and data science output into business processes and workflows.

Demonstrated ability to work across multiple deployment environments including cloud, on-premises and hybrid, multiple operating systems

Proficiency in agile methodologies and the capability of applying DevOps and increasingly DataOps principles to data pipelines to improve the communication, integration, reuse and automation of data flows between data managers and consumers across an organization

Deep domain knowledge or previous experience working in the banking business would be a plus.

Bachelor's Degree in Computer Science, Statistics, Applied Mathematics, Data Management, Information Systems, Information Science or a elated quantitative field required

An advanced degree in computer science (MS), statistics, applied mathematics (PhD), information science (MIS), data management, information systems, information science (post-graduation diploma or related) or a related quantitative field or equivalent work experience preferred

A combination of IT skills, data governance skills, analytics skills and banking domain knowledge with a technical or computer science degree preferred

Job Type: Full-time

Salary: $120,000.00 - $180,000.00 per year

Schedule:

Monday to Friday

Supplemental pay types:

Bonus pay

Experience:

SQL (Preferred)
Python (Preferred)

Work Location: Remote

Speak with the employer
+91 813-421-3204

Show More 
Report",,,"Type
Company - Private","Revenue
Unknown / Non-Applicable","Size
51 to 200 Employees",
HomeAware,,Data Scientist,Remote,Employer Provided Salary:$90K - $110K ,"Engineering

Data Team

Summary

Ubiety Technologies, Inc is dedicated to developing innovative device detection and Radio Frequency signaling products that improve the safety and security of homes, businesses, and communities. We offer a fast-paced, highly collaborative startup environment where you will be inventing and developing transformative products to improve the lives of our customers. You will be working alongside extremely talented engineers and creative designers from inception through delivery of a revolutionary product.

We’re looking for a data scientist to join Ubiety’s growing Data Team. Our small but mighty team is responsible for all things data including internal reporting/dashboarding, ad-hoc analyses, core data science R&D on RF detection, and ML model development and deployment. Because our team covers such a wide range of responsibilities, this role is an excellent opportunity to grow as a holistic data scientist developing skills such as data engineering, ML modeling, DevOps, as well as soft-skills.

Some examples of projects this role will tackle include:

Developing ML models to solve various problems such as classifying and counting nearby RF-emitting devices based on captured RF signals and metadata
Leading novel research efforts into cellular RF detection and generating insights based on captured data
Conducting research studies to understand RF data emitted by non-traditional devices (automobiles, drones, wearables, etc)
Fine tuning Cassandra queries or Snowflake access patterns to reduce latency and costs

This role reports to the Director of Data Science and sits within the Data Team. Depending on the project you will have the opportunity to work with colleagues across the Data Team and the wider Engineering org, as well as independently. You will have a lot of opportunities to take ownership and deliver on your work!

In addition to a competitive base salary, this position is also eligible for equity awards based on factors such as experience and performance. We believe strongly that if you contribute to adding to Ubiety’s value, you should share in that value.

Standard Salary Range: $90k - $110k annually plus equity

What you'll need
MS Degree in Analytics, DS, or similar OR BS Degree in Analytics, Statistics, or similar with 1-2 years of relevant experience
Strong programming experience with Python Data Science toolkit (pandas, numpy, scipy, scikit-learn, keras/pytorch, h2o)
Extensive experience pulling data from both SQL and NoSQL databases (e.g. Snowflake, Postgres, Cassandra, Redis)
Experience with basic Software Engineering concepts such as modularity and unit testing to facilitate moving code out of Jupyter notebooks and into our backend system
Experience developing Machine Learning models for both classification and regression problems utilizing a variety of algorithms and approaches
Experience developing visualizations and presentations to communicate results to non-technical audiences
Familiarity with basic AWS services
Experience with Git and contributing to projects with other developers
English language proficiency
What you'll be doing
Lead efforts to research and document the raw signaling data we are collecting
Ideate, formulate, and execute various research agendas
This includes everything from defining the problem, identifying relevant data sources, data collection/aggregation, and analysis
Create frameworks for various supervised and unsupervised ML problems
Actively contribute to the development of our core analytical engine to produce valuable insights to users from raw RF signal data
Write, audit, and improve our test coverage across our deployed ML products
Clearly communicate findings to key technical stakeholders
Drive a data driven culture across the entire company

Note: These responsibilities are just a starting place! We’re a small company, we don’t have rigid roles, and we have a lot to do - we can help you grow wherever your interests take you.

Show More 
Report",,,,,,
"INTEL
4.2",4.2,Data Scientist,Remote,,"Job Description

As the EMP MDA Data Scientist, you will be responsible for but not limited to:Delivering Operational Analytics and Automation solutions in partnership with business subject matter experts and super users to solve complex problems and developing an effective analytics self-service community within the business.Designing and applying leading Data Analytics solutions to influence how the business groups in EMP use analytics as an integral ingredient to a world class Manufacturing organization.Developing algorithms and mathematical models, performing experimentation and building data driven apps to translate data into intelligence, solve a variety of business problems and enable business strategy.Delivering data engineering and automation capabilities that enable analytics solution.Enabling EMP wide data culture through engagements with customers, educating them on technical capabilities available and facilitating data accessibility and awareness initiatives.Work with EMP teams to identify analytics needs and create plans to deliver models that provide insights.The ideal candidate should exhibit the following behavioral traits:Understanding of internal business segment. (stakeholders)Possess written and communication skills. Able to clearly communicate project status, risks and help needed. Be able to elicit requirements, discuss solution options and drive adoption with customers.Self-starter, responsible, dependable and inquisitive.Ability to solve complex analytics problemsDesire to drive change and infuse new mindset to streamline our business.Challenges status quo and has a passion to drive smart change using data.Project management skills as well as Supply Chain business background with a track record of leading and delivering complex projects thru multi-disciplinary, matrixed cross- geo teams and partnerships.Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment

Qualifications

Minimum Qualifications: The candidate must possess at least one of the following degrees plus the years of experience determined for each degree in the areas specified below Ph.D or Master's Degree in Data Analytics/Science, Mathematics, Statistics, Machine Learning with 4+ years of experience Proficiency with real-world experience, and areas Business Intelligence products. Developing BI models and solutions using Microsoft BI stack on Azure Azure Data Platform including DataBricks/Snowflake/Synapse/SQL/DataLake, LogicApps, Data Factory Statistics and advanced analytics to find patterns and relationships in data Large data set manipulation Creation of data models and visualizations to tell a compelling story and interpret the results that will enable others to drive change and action to drive business optimizations Predictive modeling statistics Machine Learning Data Mining and other data analysis techniques to collect explore and extract insights from structure and unstructured data. Experience with modern analytics frameworks to drive world-class analytics capability Deep experience with analytics languages and frameworks such as Python, R Experience with creating insights and visualizations This position is not eligible for Intel immigration sponsorship. Preferred Qualifications: Work experience in Supply Chain is preferred Hands on experience with Agile Development methodology and framework MS Azure Data Platform certification Semiconductor industry experience

Inside this Business Group

Intel's Sales and Marketing (SMG) organization works with global customers and partners to solve critical business problems with Intel based technology solutions. SMG works across business units to amplify the customer voice and deliver solutions that accelerate their business. We work across numerous industries, including retail, enterprise and government, cloud services and healthcare as examples. The operations team focuses on forecasting, driving alignment with factory production and delivering efficiency tools and our marketing capability drives demand and localized marketing in locations around the globe. Our sales force navigates a complex partner and customer ecosystem while shaping product roadmaps, driving value for our customers, and collaborating to harness emerging technology trends to deliver comprehensive solutions.

Posting Statement

All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.

Benefits

We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here: https://www.intel.com/content/www/us/en/jobs/benefits.html

It has come to our notice that some people have received fake job interview letters ostensibly issued by Intel, inviting them to attend interviews in Intel’s offices for various positions and further requiring them to deposit money to be eligible for the interviews. We wish to bring to your notice that these letters are not issued by Intel or any of its authorized representatives. Hiring at Intel is based purely on merit and Intel does not ask or require candidates to deposit any money. We would urge people interested in working for Intel, to apply directly at https://jobs.intel.com/ and not fall prey to unscrupulous elements.

Working Model

This role is available as a fully home-based and generally would require you to attend Intel sites only occasionally based on business need. This role may also be available as our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site. In certain circumstances the work model may change to accommodate business needs.


JobType

Fully Remote

Start your job application: click Apply Now

Show More 
Report","Revenue
$10+ billion (USD)","Industry
Computer Hardware Development","Founded
1968","Type
Company - Public","Size
10000+ Employees","Sector
Information Technology"
National Consulting Partners,,Data Scientist,Remote,Employer Provided Salary:$80K - $135K ,"NCP is seeking a Data Scientist to serve on a team supporting the Department of Veterans Affairs (VA). The Data Scientist will be part of a high performing team that will play a crucial role in enabling evidence-based decision-making to improve outcomes for veterans and their families, and lower costs for VA, through the implementation of modern analytics tools and computing resources.

Primary Responsibilities:

Collaborate with cross-functional teams to identify, prioritize, and frame business problems that can be addressed through data analysis and modeling, with a focus on improving outcomes for veterans and their families.
Acquire, preprocess, and analyze large datasets from various sources, ensuring data quality and integrity.
Develop, test, and deploy predictive models and machine learning algorithms to solve complex healthcare problems and support evidence-based decision-making processes.
Interpret and communicate data-driven insights and recommendations to stakeholders in a clear and understandable manner, both in writing and verbally.
Monitor and evaluate the performance of models and algorithms, refining and optimizing as needed to better serve the needs of veterans and their families.
Stay current with the latest trends, tools, and technologies in data science, health analytics, and machine learning, and apply this knowledge to improve existing processes and methodologies.
Contribute to the development of data science best practices, guidelines, and standards within the organization, promoting a culture of continuous improvement and innovation.
Mentor and provide guidance to junior data scientists and other team members.

Required Qualifications

Bachelor's degree in Data Science, Computer Science, Statistics, or a related field.
3+ years of experience in a data scientist role, preferably in the healthcare or life sciences industry.
Strong programming skills in Python or R, with experience in data manipulation, analysis, and visualization.
Proficiency in machine learning algorithms and statistical modeling techniques, such as regression, clustering, and time series analysis.
Experience with big data technologies, such as Hadoop and Spark, and familiarity with SQL and NoSQL databases.
Excellent analytical and problem-solving skills, with the ability to translate complex data into actionable insights.
Strong communication skills, with the ability to present findings and recommendations to both technical and non-technical audiences.
Ability to work effectively in a fast-paced, collaborative environment.

Additional Skills:

Experience with MS Azure Government Cloud.
Experience with Docker and Kubernetes.
Proficiency in Terraform and Infrastructure as Code.
Experience with GitHub Actions.
Experience with JIRA and Agile Scrum Team Expertise.
Familiarity with Jira and Confluence, or other similar tools.
Knowledge of CI/CD processes and pipelines.
Experience with Azure Resource Manager (ARM) templates.
Experience with large data projects.

Job Type: Full-time

Pay: $80,000.00 - $135,000.00 per year

Benefits:

401(k)
Dental insurance
Flexible schedule
Health insurance
Paid time off
Vision insurance

Compensation package:

Bonus pay

Schedule:

8 hour shift

Education:

Bachelor's (Preferred)

Experience:

Docker and Kubernetes: 1 year (Preferred)
MS Azure Government Cloud: 1 year (Preferred)
Data science: 3 years (Preferred)

Work Location: Remote

Show More 
Report",,,"Type
Company - Private","Revenue
Unknown / Non-Applicable","Size
1 to 50 Employees",
"Vetro Tech Inc
3.9",3.9,Data Scientist,"Philadelphia, PA",Employer Provided Salary:$83K - $99K ,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.

Responsibilities

Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams

Skills

Proven experience as a Data Scientist or Data Analyst
Experience in data mining
Understanding of machine-learning and operations research
Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset
Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills
BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred

Job Type: Full-time

Salary: $83,000.00 - $99,000.00 per year

Schedule:

Monday to Friday

Work Location: Remote

Speak with the employer
+91 6149150409

Show More 
Report",,"Sector
Human Resources & Staffing","Type
Company - Public","Industry
Staffing & Subcontracting","Size
Unknown","Revenue
Unknown / Non-Applicable"
Redvest App,,Data Scientist,Remote,Employer Provided Salary:$60K - $140K ,"iOS: https://apps.apple.com/us/app/id1551871735

Android: https://play.google.com/store/apps/details?id=com.redko.redvest

Downloading the app first will help your application process tremendously!

Get to work with the one of the top 30 ranking Finance Apps on the App Store, Redvest. Learn to produce a mobile app from start to finish! Redvest is stock market simulator that reproduces behavior and features of the stock market, so that our users can practice trading crypto currencies and stocks with 0 financial risk. Our users get $ 100,000 free paper money for their gamified stock market learning experience. We are looking for a team member that is passionate about or wants to learn the stock market and finance. You might also get an opportunity to work on different web based and mobile projects.

We are seeking a skilled Data Scientist to join our mobile app development team. The ideal candidate will be responsible for developing and implementing data-driven solutions to improve our mobile app's performance and user experience. You will be working closely with product managers, engineers, and designers to identify areas for improvement and optimization.

Responsibilities:

Analyze user behavior and data to identify areas of improvement and optimization for our mobile app.
Develop and maintain data models and algorithms to improve app performance and user experience.
Collaborate with cross-functional teams to identify and prioritize data-driven solutions.
Develop and implement data-driven A/B tests to measure the impact of new features and changes.
Analyze and interpret data to provide actionable insights to the product and engineering teams.
Create and maintain dashboards and reports to track key performance indicators (KPIs).
Stay up-to-date with emerging trends and technologies in mobile app development and data analysis.

Skills:

Strong knowledge of data analysis and statistics.
Experience with data modeling, machine learning, and statistical analysis.
Proficiency in Python, R, SQL, and other relevant programming languages.
Experience with data visualization tools such as Tableau or PowerBI.
Familiarity with mobile app development frameworks such as React Native or Flutter.
Excellent communication and collaboration skills.
Strong problem-solving skills and attention to detail.
Ability to work in a fast-paced, dynamic environment.

Job Types: Full-time, Part-time, Contract

Pay: $60,000.00 - $140,000.00 per year

Benefits:

401(k)
Dental insurance
Flexible schedule
Health insurance
Paid time off
Vision insurance

Schedule:

Monday to Friday

Application Question(s):

Did you download and familiarize our app? List 1-2 metrics you can analyze.

iOS: https://apps.apple.com/us/app/id1551871735

Android: https://play.google.com/store/apps/details?id=com.redko.redvest

Work Location: Remote

Show More 
Report",,,,,,
PROLIM Corporation,,Data Scientist,Remote,Employer Provided Salary:$75.00 - $80.00 Per Hour,"Required

Self-motivated individual who functions well solo and within a team.
Ability to employ data science and supply chain operations research in the development of analytics models that can tackle complex supply chain problems.
Ability to use open-source languages and/or algorithms for model development.
Be proficient in one or more programming language, such as Python, R, C++, or Java.
Be proficient in one or more visualization tools, such as Tableau or Power BI
Have experience building simulation models and applying simulation software (e.g., AnyLogic,.), either through formal coursework or through research/work experience.
Proficiency in data engineering to work closely with data engineers to define the data requirements for modeling purposes.
Ability to effectively communicate technical work to both technical and non-technical audiences.

Preferred:

Preferred fields are Computer Science/Computer Engineering, Data Science, Operations Research, Industrial Engineering, Biomedical Engineering, or an equivalent/similar area.
Experience in supply chain planning processes (e.g., demand planning, supply planning, production planning, etc.), supply chain network design, and/or supply chain optimization.
Formal coursework in probability, linear programming, and/or stochastic programming.
Familiarity with large datasets, understanding of data analysis workflows, and/or knowledge of querying languages such as SQL.
Knowledge of machine learning algorithms such as Random Forests, SVM, neural networks, etc.
Additional supply chain education, training and/or certification through Massive Open Online Courses (MOOCS) and/or professional organizations.

Job Type: Contract

Salary: $75.00 - $80.00 per hour

Schedule:

8 hour shift
Day shift
Monday to Friday

Experience:

Data science: 5 years (Preferred)
Supply chain management: 4 years (Preferred)
SQL: 4 years (Preferred)

Work Location: Remote

Speak with the employer
+91 9729196946

Show More 
Report",,,,,,
"Plaxonic
4.6",4.6,AML Data Scientist,Remote,Employer Provided Salary:$125K - $130K ,"At least 5 years of experience in Data Scientist.
Working knowledge of modelling, loading, optimizing large amounts of data into druid to be queried
by a low latency web applications via API.
Prior working experience in building data pipelines using Spark, Hive, Python, Airflow or similar
technologies.
Prior working experience in Optimizing performance of data pipelines jobs.
Working knowledge of data modelling, data processing infrastructure, including databases, data
lakes, and data warehouses.
Quick learner, self-starter, being able to operate with little to no guidance.
Good communication skills and being productive in a fast-paced development environment.

Job Type: Full-time

Salary: $125,000.00 - $130,000.00 per year

Schedule:

8 hour shift

Experience:

Anti-money laundering: 5 years (Preferred)
Python: 5 years (Preferred)
Spark: 5 years (Preferred)

Work Location: Remote

Speak with the employer
+91 727.758.5913

Show More 
Report","Revenue
$1 to $5 million (USD)","Industry
Information Technology Support Services","Founded
2013","Type
Company - Private","Size
51 to 200 Employees","Sector
Information Technology"
"Datasync Techonlogies Inc
4.9",4.9,Data Scientist,"McLean, VA",$92K - $142K (Glassdoor est.),"We are looking for a Data Scientist/Engineer who lives to find the messages hidden in the madness of data. You will be responsible for keeping us on the cutting edge of data interpretation and visualization, and help us peer into the future with predictive models. As a Data Scientist, you will apply the latest data mining techniques, using statistical analysis to integrate prediction systems with our products and present findings to the business.

Data Scientist Responsibilities

Building algorithms and designing experiments to merge, manage, analyze, and extract data for tailored reports to colleagues, clients or management.
Creating, managing, and utilizing high performance relational and NoSQL databases, such as Microsoft SQL Server, Oracle, Microsoft Access, OLAP and other software.
Selecting and implementing data mining methods most relevant to company projects and desired outcomes.
Enhancing data collection to include information relevant for building analytic systems.
Querying and mining large data sets to discover transaction patterns, examining data and filtering for targeted information that utilize both traditional and predictive/advanced analytic methodologies.
Act as a technical thought leader in collaboration with the analytics team, helping to set the strategy and standards for data science and advanced analytics.

Data Scientist Requirements

Bachelors degree or higher in data relevant fields: Computer Science, Mathematics, Physics, Engineering, Statistics, etc.
Expansive knowledge of Python, and strong familiarity with R, Java, SQL, Scala, and MATLAB.
Solid understanding of machine learning techniques and algorithms.
Experienced with NoSQL databases like MongoDB and Cassandra, as well as big data platforms like Aster and Hadoop.
Experience with BI Viz tools such as Tableau, Cognos, Adobe Analytics or Google Analytics.
Ability to perform in a multidisciplinary and highly collaborative environment where knowledge and sharing insights and information is critical.
Experience working in statistics, probability and analytics, as well as ability to present findings and trends in clear and efficient ways.

ONLY CANDIDATES WITH ACTIVE GOVERNMENT SECURITY CLEARANCES AND APPROPRIATE POLY WILL BE CONSIDERED. MUST BE A U.S. CITIZEN.

_______________________

Interested in Joining Our Team? - Check out this YouTube video!

Be a part of an award-winning, employee friendly company in Northern VA and have the satisfaction of helping keep America safe. DataSync Technologies, Inc is a veteran owned small business providing consulting excellence and real time solutions for customers with complex information technology needs within Intelligence Community. Our cleared consultants bring real world experience with a common sense approach to their jobs whether they are creating complex analytic dashboards, architecting new cloud technology infrastructures, securing sensitive data or streamlining business processes for efficiency.

Equal Employment Opportunity
DataSync is an EEO and Affirmative Action Employer of Female/Minorities/Veterans/Individuals with Disabilities. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Information about Equal Employment Opportunity (EEO) and Employee Polygraph Act (EPPA) provisions in addition to other Federal labor laws can be found at the Department of Labor's Website.

DataSync is committed to providing veteran employment opportunities to our service men and women.

#cj

Show More 
Report","Revenue
Unknown / Non-Applicable","Industry
Information Technology Support Services","Founded
2003","Type
Company - Private","Size
1 to 50 Employees","Sector
Information Technology"
